productid,product,cost,in_stock,item_category,date,items_sold
775,Classic Bagels,2.99,630,Food - Bakery,6/26/2025,16
776,Orange Ginger Vinaigrette,3.99,399,Food - Condiments,9/21/2025,
777,Frozen Pizza,7.99,148,Food - Frozen Foods,2/24/2025,62
778,Watering Can with Nozzle,19.99,2250,Garden,5/18/2025,924
779,Magnetic Chess Set,19.99,481,Toys,3/10/2025,1009
780,Portable Ice Maker,199.99,2469,Kitchen,6/26/2025,5999
781,Vegetable Stock,2.49,26,Food - Cooking Essentials,8/12/2025,1216
782,Sesame Seeds,1.99,1601,Food - Baking,11/14/2025,0
783,Mini Pretzels,2.99,5,Food - Snacks,2/2/2025,325
784,Himalayan Salt Grinder,4.99,73,Food - Spices,2/25/2025,114
785,Marinated Artichokes,3.79,0,Food - Vegetables,6/13/2025,309
786,Insulated Wine Tote,24.99,425,Accessories,8/21/2025,1881
787,Fruit and Nut Energy Bites,2.99,2260,Food - Snacks,11/23/2025,1335
788,Honey Mustard Pretzel Bites,3.99,15,Food - Snacks,12/28/2024,1380
789,Cinnamon Sugar Mix,1.49,238,Food - Baking,9/9/2025,252
790,Coffee Making Kit,44.99,127,Kitchen,3/26/2025,1158
791,Adjustable Garden Rake,22.99,526,Garden,8/10/2025,3782
792,Rechargeable Battery Organizer,17.99,20,Home,8/13/2025,1136
793,Gluten-Free Biscuits,3.79,394,Food - Baking,5/20/2025,902
794,Digital Kitchen Timer,14.99,226,Kitchen,4/29/2025,117
795,Honey Mustard Pretzel Bites,3.99,472,Food - Snacks,12/21/2024,1770
796,Scented Candles,19.99,240,Home,12/22/2024,47
797,Tuscan Bean Soup,2.49,433,Food - Canned Goods,2/4/2025,584
798,Pet Safety Harness,24.99,,Pets,1/15/2025,232
799,Italian Herbal Seasoning,1.99,266,Food - Spices,1/28/2025,2274
800,Pistachio Ice Cream,4.99,1387,Food - Frozen Desserts,7/13/2025,446
801,Motion Sensor Light,19.99,450,Home,8/16/2025,122
802,Wireless Printer,99.99,165,Office,9/14/2025,114
803,Electrolyte Water Bottle,34.99,668,Fitness,2/25/2025,1069
804,Smartphone UV Sanitizer,39.99,6763,Health,7/4/2025,341
805,Thai Basil Fried Rice,5.99,40,Food - Frozen,6/8/2025,1402
806,Herbal Tea Set,19.99,5,Food,12/29/2024,607
807,Coconut Chips,3.59,56,Food - Snacks,7/20/2025,59
808,Vegan Caesar Dressing,3.99,1624,Food - Condiments,5/11/2025,1959
809,Pet Grooming Kit,39.99,,Pets,11/23/2025,49
810,High-Pressure Handheld Shower Head,39.99,75,Bathroom,3/5/2025,1884
811,Blackberry Jam,4.29,256,Food - Condiments,6/1/2025,1473
812,Pumpkin Spice Latte Mix,3.29,140,Food - Beverages,11/22/2025,70
813,Rechargeable Electric Toothbrush,49.99,3442,Health,5/19/2025,32
814,Beef Stroganoff Mix,5.49,10,Food - Meal Kits,10/2/2025,17
815,Travel Yoga Mat,34.99,164,Fitness,4/6/2025,2818
816,Sweet Chili Sauce,2.99,3245,Food - Condiments,3/30/2025,20
817,Weighted Jump Rope,15.99,6221,Fitness,10/17/2025,1969
818,Pet Carrier,39.99,132,Pets,5/19/2025,1312
819,Heated Throw Blanket,49.99,4551,Home,8/24/2025,60
820,Electric Rice Cooker with Steamer,49.99,108,Kitchen,4/5/2025,999
821,Frozen Spinach,1.99,982,Food - Frozen Foods,7/22/2025,
822,Honey Ginger Tea,2.99,115,Food - Beverages,1/6/2025,120
823,Dark Chocolate Raisins,3.49,124,Food - Snacks,3/29/2025,24
824,Overnight Hiking Backpack,79.99,511,Outdoor,3/27/2025,4
825,Tomatillo Salsa,3.29,450,Food - Condiments,7/6/2025,163
826,Almond Joy Snack Bars,2.99,20,Food - Snacks,2/21/2025,16
827,Foam Roller for Muscle Recovery,29.99,187,Fitness,2/25/2025,7539
828,Ginger Snaps,2.79,206,Food - Confectionery,2/21/2025,23
829,Children's Gardening Set,19.99,3755,Toys,7/20/2025,1620
830,Organic Almond Flour,6.99,2255,Food - Baking,3/7/2025,3250
831,Portable Hammock with Stand,69.99,767,Outdoor,10/4/2025,883
832,Portable Jump Starter,59.99,15,Automotive,4/23/2025,930
833,Jasmine Rice,2.39,236,Food - Grains,4/11/2025,85
834,Smart Water Bottle with Hydration Reminder,39.99,304,Fitness,3/21/2025,841
835,Natural Peanut Butter,4.29,75,Food - Spreads,2/15/2025,14
836,Smart Fitness Scale,49.99,3868,Fitness,5/31/2025,1035
837,Sesame Garlic Noodles,3.49,4179,Food - Pasta,3/2/2025,1729
838,Sesame Garlic Noodles,3.49,5680,Food - Pasta,8/29/2025,17
839,Reversible Comforter Set,89.99,370,Home,11/15/2025,755
840,Portable Solar Path Lights,39.99,403,Outdoor,7/17/2025,22
841,Creamy Ranch Dressing,2.49,1335,Food - Dressings,12/29/2024,1365
842,Wall Decals for Kids,24.99,4006,Home,3/2/2025,2563
843,Ceramic Bakeware Set,49.99,98,Kitchen,3/12/2025,82
844,Graphic Print Leggings,29.99,170,Clothing - Activewear,9/11/2025,404
845,Decorative Throw Pillows,29.99,3510,Home,5/10/2025,621
846,Banana Peanut Butter Smoothie,5.49,3,Food - Frozen Foods,1/26/2025,2102
847,Cinnamon Sugar Donuts,4.99,4950,Food - Bakery,11/14/2025,155
848,Compact Refrigerator,199.99,681,Home Appliances,2/5/2025,1968
849,Savory Snack Mix,4.49,39,Food - Snacks,9/8/2025,981
850,Portable Blender,30,,Kitchen,7/2/2025,
851,Mediterranean Olives,6.49,889,Food - Condiments,9/3/2025,244
852,Organic Baby Carrots,2.99,860,Food - Fresh Produce,9/26/2025,
853,Wooden Kitchen Utensil Set,19.99,17,Kitchen,6/22/2025,2328
854,Electric Stool Heater,29.99,3799,Home,12/27/2024,406
855,Electric Hot Pot,49.99,30,Kitchen,10/12/2025,1648
856,Children's Gardening Set,19.99,4952,Toys,12/23/2024,72
857,Organic Tomato Ketchup,3.49,34,Food - Condiments,3/30/2025,289
858,Chili Lime Corn Chips,2.79,504,Food - Snacks,9/17/2025,1293
859,Indoor Grill,59.99,274,Kitchen,10/7/2025,1765
860,Travel Size Toiletry Bottles,9.99,13,Travel,2/9/2025,728
861,Herb Seasoned Couscous,2.49,,Food - Grains,8/19/2025,75
862,Fire Roasted Salsa,2.49,663,Food - Condiments,3/11/2025,1974
863,Vegetarian Sausage Links,5.89,630,Food - Meat Substitutes,9/25/2025,3706
864,Pet Travel Carrier,39.99,3853,Pets,4/12/2025,13355
865,Fashionable Scarves Set,24.99,363,Clothing,10/15/2025,7
866,Pest Control Traps,22.99,1975,Home,3/21/2025,10
867,Kids' Art Easel,58.99,55,Toys,12/21/2024,465
868,Antique Style Clock,39.99,495,Home,9/6/2025,170
869,Shredded Cheese,4.29,109,Food - Dairy,7/27/2025,1573
870,Travel Shoe Bags Set,15.99,6032,Travel,5/3/2025,20
871,Ceramic Planter Set,39.99,31,Home,8/13/2025,20
872,Chili Lime Shrimp,8.99,807,Food - Seafood,8/15/2025,354
873,Organic Vanilla Bean Ice Cream,5.99,630,Food - Frozen Desserts,8/4/2025,0
874,Garlic Parmesan Wings,8.99,1284,Food - Frozen Foods,4/11/2025,1650
875,Garden Kneeler and Seat,39.99,33,Garden,5/8/2025,980
876,Robot Vacuum Cleaner,299.99,10,Home Appliances,11/15/2025,5020
877,Miso Dressing,3.49,3697,Food - Dressings,5/8/2025,30
878,Ultraviolet Phone Sanitizer,39.99,340,Health,11/30/2025,671
879,Wireless Charging Station,39.99,603,Electronics,7/22/2025,861
880,Quinoa,4.49,5,Food - Grains,1/2/2025,34
881,Sesame Seeds,1.99,398,Food - Baking,8/6/2025,15
882,Children's Educational Puzzle,19.99,86,Toys,4/4/2025,1860
883,Granola Clusters,4.99,0,Food - Cereal,6/30/2025,1470
884,Raspberry Lemonade Mix,3.99,128,Food - Beverages,2/5/2025,1087
885,Pet Hair Removal Brush,14.99,4560,Pets,2/19/2025,3126
886,Yoga Mat,25,151,Fitness,4/12/2025,8400
887,Beef Stroganoff Mix,5.49,1260,Food - Meal Kits,11/23/2025,28
888,Coconut Water,2.49,41,Food - Beverages,2/16/2025,2797
889,Chili Lime Corn Chips,2.79,2372,Food - Snacks,12/6/2025,604
890,Casual Sneakers,39.99,98,Clothing - Footwear,3/26/2025,20
891,LED Flashlight,19.99,413,Outdoor,2/19/2025,46
892,Cat Tree with Scratching Posts,79.99,374,Pets,12/22/2024,
893,Pasta (Fusilli),1.79,,Food - Pasta,12/16/2025,1160
894,Car Escape Tool,12.99,8306,Automotive,11/6/2025,193
895,Portable Pet Stroller,89.99,3635,Pets,7/6/2025,266
896,Laptop Stand,29.99,272,Accessories,3/28/2025,22
897,Spicy Tuna Rolls,6.49,427,Food - Seafood,12/5/2025,223
898,Vintage Graphic Tee,25.99,1208,Clothing - Tops,7/4/2025,820
899,Creamy Ranch Dressing,2.49,10,Food - Dressings,6/18/2025,705
900,Stainless Steel Mixing Bowls,29.99,2653,Kitchen,8/27/2025,194
901,Balsamic Vinegar,4.99,656,Food - Condiments,12/14/2025,70
902,Stick Vacuums Cleaner,129.99,52,Home Appliances,12/8/2025,2581
903,Kids' Building Blocks,19.99,7267,Toys,4/13/2025,54
904,Comfortable Jogger Pants,29.99,,Clothing - Bottoms,11/18/2025,1325
905,Coconut Curry Lentils,5.79,4184,Food - Canned Goods,1/25/2025,33
906,Herbal Tea Variety Pack,4.99,5085,Food - Beverages,3/12/2025,17
907,Slim Fit Chinos,54.99,82,Clothing - Pants,2/15/2025,26
908,Outdoor Portable Fire Pit,149.99,670,Outdoor,9/16/2025,453
909,Biodegradable Trash Bags,12.99,500,Home,1/20/2025,1335
910,Home Brewing Starter Kit,79.99,11,Food,9/9/2025,1391
911,Folding Pocket Knife,24.99,1382,Tools,1/21/2025,2582
912,Savory Breakfast Sausage,6.49,46,Food - Meats,9/19/2025,42
913,Fitness Tracker Band,29.99,,Fitness,4/8/2025,3294
914,Teriyaki Beef Strips,7.49,,Food - Frozen Meals,8/26/2025,250
915,Magnetic Whiteboard,34.99,309,Office,5/13/2025,39
916,Sliced Olives,1.99,46,Food - Condiments,9/23/2025,571
917,Compact Pop-Up Tent,69.99,4,Outdoor,2/14/2025,216
918,Pumpkin Spice Creamer,3.79,75,Food - Beverages,7/6/2025,1054
919,Electric Rice Cooker with Steamer,49.99,556,Kitchen,2/5/2025,2925
920,Tea Infuser Bottle,19.99,19,Kitchen,7/31/2025,192
921,Comfortable Jogger Pants,29.99,1266,Clothing - Bottoms,5/9/2025,45
922,Plant-Based Protein Bars,19.99,65,Health,4/7/2025,623
923,Granulated Sugar,2.49,1927,Food - Baking,10/27/2025,104
924,Vegetable Stir Fry Mix,3.29,3100,Food - Fresh Produce,1/31/2025,15
925,Children's Science Experiment Lab Kit,29.99,,Toys,11/24/2025,3228
926,Smart Wi-Fi Camera,89.99,427,Smart Home,8/28/2025,472
927,Breathable Face Mask Set,14.99,4,Health,6/1/2025,19
928,Honey Wheat Pretzels,3.49,19,Food - Snacks,5/29/2025,213
929,Graphic Tee,19.99,59,Clothing,3/23/2025,
930,Apple Cinnamon Instant Oatmeal,3.49,0,Food - Cereal,3/16/2025,8
931,DIY Organic Gardening Kit,39.99,1481,Garden,7/9/2025,80
932,Maple Syrup,6.99,60,Food - Condiments,5/9/2025,256
933,Cranberry Lime Sparkling Water,1.5,317,Food - Beverages,3/23/2025,1227
934,Chiffon Blouse,39.99,1759,Clothing - Shirts,8/2/2025,889
935,Safety Goggles,14.99,23,Safety,12/3/2025,48
936,Board Game Storage,19.99,10,Toys,10/19/2025,101
937,Portable Ice Maker,199.99,1633,Kitchen,11/17/2025,8136
938,Leather Wallet,49.99,1605,Accessories,1/23/2025,2697
939,Multifunctional Pocket Tool,19.99,5737,Tools,7/9/2025,59
940,Terry Cloth Robe,59.99,160,Clothing - Loungewear,2/7/2025,82
941,Pineapple Teriyaki Chicken Mix,6.99,794,Food - Meat,10/8/2025,39
942,Electric Razor,59.99,2001,Health,2/22/2025,2413
943,Air Fryer Oven,149.99,3,Kitchen,12/11/2025,622
944,Cajun Seasoning,1.99,372,Food - Spices,1/22/2025,6193
945,Eco-Friendly Notepad,8.99,47,Office,11/6/2025,1887
946,Wooden Puzzle Game,14.99,65,Toys,12/8/2025,3720
947,Basil Tomato Soup,2.99,6,Food - Canned Soups,11/9/2025,6388
948,Black Bean & Corn Salad,3.99,68,Food - Salads,3/19/2025,492
949,Coconut Cream Pie,9.49,1620,Food - Bakery,8/21/2025,257
950,Chocolate Chip Pancake Mix,3.99,240,Food - Bakery,9/1/2025,444
951,Warm Wool Sweater,59.99,5007,Clothing - Tops,12/28/2024,653
952,Vegan Mac & Cheese,8.99,2133,Food - Frozen,10/29/2025,10
953,Handcrafted Wooden Jewelry Box,39.99,1340,Accessories,1/18/2025,1549
954,Acoustic Guitar,199.99,,Music,7/25/2025,190
955,Grapes (red),3.49,100,Food - Produce,10/5/2025,29
956,Italian Pasta,2.29,446,Food - Grains,6/30/2025,16
957,Home Cleaning Robot,249.99,131,Home Appliances,10/1/2025,81
958,Baked Falafel,5.49,2680,Food - Vegetarian,8/3/2025,9
959,Compost Bin,29.99,166,Garden,10/16/2025,3707
960,Chocolate Chip Cookie Dough,5.49,859,Food - Baking,9/28/2025,23
961,Plant-Based Cookbook,29.99,1321,Books,4/13/2025,10
962,Honey Roasted Chickpeas,3.29,1965,Food - Snacks,3/15/2025,897
963,Sweet Potatoes,0.89,169,Food - Produce,12/12/2025,31
964,Crispy Potato Tots,3.69,705,Food - Frozen Foods,10/12/2025,2927
965,Stainless Steel Mixing Bowls,29.99,13,Kitchen,12/5/2025,2351
966,Creamy Tomato Basil Soup,3.29,1616,Food - Canned Goods,3/9/2025,734
967,Granola Cereal,4.49,,Food - Breakfast,11/3/2025,1317
968,Mango Sticky Rice Dessert,4.5,24,Food - Frozen Desserts,7/30/2025,
969,Cocktail Shaker Set,29.99,5159,Kitchen,4/8/2025,
970,Cauliflower Pizza Crust,5.99,11,Food - Frozen Foods,4/16/2025,217
971,Honey Butter Popcorn,2.99,1168,Food - Snacks,7/2/2025,56
972,Inspirational Wall Art,24.99,1204,Home,5/27/2025,1765
973,Digital Drawing Tablet,79.99,569,Art Supplies,4/27/2025,109
974,Savory Oatmeal,2.49,2527,Food - Breakfast,2/8/2025,2381
975,Almond Flour Bread Mix,4.89,12,Food - Baking,9/3/2025,192
976,Outdoor String Lights,24.99,434,Outdoor,12/23/2024,33
977,Fettuccine Alfredo Dinner Kit,5.49,43,Food - Prepared Meals,5/8/2025,50
978,Non-Stick Baking Sheets,29.99,814,Kitchen,9/11/2025,23
979,Vanilla Protein Powder,24.99,1462,Food - Health/Protein,10/18/2025,540
980,Insulated Lunch Box,24.99,32,Kitchen,9/10/2025,288
981,Outdoor Picnic Blanket,34.99,5446,Outdoor,2/18/2025,659
982,Cinnamon Rolls,4.49,191,Food - Bakery,9/13/2025,45
983,Sustainable Wooden Toys,29.99,33,Toys,5/23/2025,3755
984,Lentil Vegetable Stew,4.49,364,Food - Canned Soups,10/13/2025,724
985,Foot Massager,79.99,,Health,9/21/2025,1249
986,Spinach and Cheese Stuffed Shells,5.99,90,Food - Frozen Meals,6/16/2025,203
987,Mashed Sweet Potatoes,3.99,27,Food - Sides,1/12/2025,46
988,Portable Air Purifier,69.99,8,Health,5/9/2025,4825
989,Pineapple Coconut Rice Mix,3.99,145,Food - Grains,3/7/2025,1667
990,Kettle Chip Variety Pack,3.99,71,Food - Snacks,2/22/2025,2776
991,Board Game,34.99,,Toys,2/24/2025,142
992,Rechargeable Electric Screwdriver,39.99,905,Tools,4/11/2025,95
993,White Rice,1.49,175,Food - Grains,12/23/2024,10
994,Tahini,5.49,1674,Food - Condiments,3/10/2025,4
995,Snack Container Set,19.99,20,Kitchen,5/2/2025,165
996,Dog Car Seat Cover,39.99,230,Pets,3/4/2025,4776
997,Vegetable and Cheese Quesadillas,6.99,137,Food - Frozen,3/8/2025,1521
998,Banana Chips,1.99,,Food - Snacks,7/8/2025,640
999,Oversized Denim Shirt,49.99,147,Clothing - Shirts,3/15/2025,0
1000,Cranberry Almond Biscotti,4.19,20,Food - Bakery,2/16/2025,152
